Query no.,Query,Original Run time,Bushy Run time,Left Deep Run time,Optimized (GT) Run time,Performance of Bushy,Performance of Left-Deep,GT SPEED,Efficacy of Bushy,Efficacy of Left-Deep
1,"SELECT COUNT(*) FROM movie_keyword mk,title t,cast_info ci WHERE t.id=mk.movie_id AND t.id=ci.movie_id AND 
t.production_year>2010 AND mk.keyword_id=8200;",264.116,153.295,253.538,151.321,98.71%,59.68%,42.71%,41.96%,4.01%
2,"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.production_year>2010 AND t.kind_id=1 AND mi.info_type_id=8 AND mi_idx.info_type_id=101;",5.09,5.548,5.849,5.129,92.45%,87.69%,-0.77%,-9.00%,-14.91%
3,"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx,cast_info ci,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=ci.movie_id AND t.id=mk.movie_id AND mi.info_type_id=3 AND mi_idx.info_type_id=100 AND t.production_year>2010;",258.034,256.246,257.626,261.577,102.08%,101.53%,-1.37%,0.69%,0.16%
4,"SELECT COUNT(*) FROM title t,movie_keyword mk,movie_companies mc,movie_info mi WHERE t.id=mk.movie_id AND t.id=mc.movie_id AND t.id=mi.movie_id AND mk.keyword_id=398 AND mc.company_type_id=2 AND t.production_year=1998;",17.006,16.929,16.6,15.824,93.47%,95.33%,6.95%,0.45%,2.39%
5,"SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.id=mc.movie_id AND mk.keyword_id>8540 AND t.kind_id<7 AND t.production_year<1967;",5.491,5.587,6.465,5.503,98.50%,85.12%,-0.22%,-1.75%,-17.74%
6,"SELECT COUNT(*) FROM title t,movie_keyword mk,movie_companies mc,movie_info mi WHERE t.id=mk.movie_id AND t.id=mc.movie_id AND t.id=mi.movie_id AND mk.keyword_id=398 AND mc.company_type_id=2 AND t.production_year>1950 AND t.production_year<2000;",17.5,17.53,17.647,15.827,90.29%,89.69%,9.56%,-0.17%,-0.84%
7,"SELECT COUNT(*) FROM title t,movie_info mi,movie_companies mc,cast_info ci,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mc.movie_id AND t.id=ci.movie_id AND t.id=mk.movie_id AND ci.role_id=2 AND mi.info_type_id=16 AND t.production_year>2010 AND mc.company_id=22956;",47.77,49.445,51.133,25.723,52.02%,50.31%,46.15%,-3.51%,-7.04%
8,"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=1 AND mc.company_id=34044;",298.519,100.938,305.007,101.017,100.08%,33.12%,66.16%,66.19%,-2.17%
9,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>1977 AND mk.keyword_id>309;",304.393,186,306.073,213.107,114.57%,69.63%,29.99%,38.89%,-0.55%
10,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=3 AND t.production_year=2008 AND mi_idx.info_type_id<101;",285.97,98.222,288.387,98.244,100.02%,34.07%,65.65%,65.65%,-0.85%
11,"SELECT COUNT(*) FROM movie_info_idx mi_idx,movie_keyword mk,title t,movie_info mi WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id>100 AND t.kind_id<7;",32.044,31.444,32.619,30.874,98.19%,94.65%,3.65%,1.87%,-1.79%
12,"SELECT COUNT(*) FROM movie_companies mc,movie_info mi,movie_info_idx mi_idx,title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mi.movie_id AND t.id=mc.movie_id AND mc.company_id>1284 AND t.kind_id=7 AND mk.keyword_id>12857;",10.229,9.324,9.849,9.269,99.41%,94.11%,9.39%,8.85%,3.71%
13,"SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,movie_info_idx mi_idx,title t,movie_info mi WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.id=mc.movie_id AND mk.keyword_id<11604 AND t.kind_id=7 AND t.production_year=2004 AND mi.info_type_id=3;",3.413,3.35,3.834,2.958,88.30%,77.15%,13.33%,1.85%,-12.34%
